team,player,club,club_country,club_with_country,position,date_of_birth,age,age_as_of,age_source,age_source_url,fc26_ovr,rating_source,rating_confidence,notes,source_url,rating_url,headshot_url,last_verified_at
Japan,Keito Nakamura,Reims,France,Reims [France],MF,2000-07-28,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/keito-nakamura-242914,76,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/keito-nakamura-242914,https://www.fcratings.com/assets/images/post/242914.png,2026-06-26
Japan,Yukinari Sugawara,Werder Bremen,Germany,Werder Bremen [Germany],DF,2000-06-28,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/yukinari-sugawara-242916,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/yukinari-sugawara-242916,https://www.fcratings.com/assets/images/post/242916.png,2026-06-26
Japan,Yuito Suzuki,SC Freiburg,Germany,SC Freiburg [Germany],MF,2001-10-25,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/yuito-suzuki-255185,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/yuito-suzuki-255185,https://www.fcratings.com/assets/images/post/255185.png,2026-06-26
Japan,Zion Suzuki,Parma,Italy,Parma [Italy],GK,2002-08-21,23,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/zion-suzuki-255981,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/zion-suzuki-255981,https://www.fcratings.com/assets/images/post/255981.png,2026-06-26
Japan,Shuto Machino,Borussia Mönchengladbach,Germany,Borussia Mönchengladbach [Germany],FW,1999-09-30,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/shuto-machino-245622,73,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/shuto-machino-245622,https://www.fcratings.com/assets/images/post/245622.png,2026-06-26
Sweden,Alexander Isak,Liverpool,England,Liverpool [England],FW,1999-09-21,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/alexander-isak-233731,87,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as one of the team's highest-profile FC 26 players for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/alexander-isak-233731,https://www.fcratings.com/assets/images/post/233731.png,2026-06-26
Sweden,Viktor Gyökeres,Arsenal,England,Arsenal [England],FW,1998-06-04,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/viktor-gyokeres-241651,86,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as one of the team's highest-profile FC 26 players for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/viktor-gyokeres-241651,https://www.fcratings.com/assets/images/post/241651.png,2026-06-26
Sweden,Anthony Elanga,Newcastle United,England,Newcastle United [England],FW,2002-04-27,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/anthony-elanga-257470,79,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/anthony-elanga-257470,https://www.fcratings.com/assets/images/post/257470.png,2026-06-26
Sweden,Yasin Ayari,Brighton & Hove Albion,England,Brighton & Hove Albion [England],MF,2003-10-06,22,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/yasin-ayari-257400,79,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/yasin-ayari-257400,https://www.fcratings.com/assets/images/post/257400.png,2026-06-26
Sweden,Daniel Svensson,Borussia Dortmund,Germany,Borussia Dortmund [Germany],DF,2002-02-12,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/daniel-svensson-259716,79,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/daniel-svensson-259716,https://www.fcratings.com/assets/images/post/259716.png,2026-06-26
Sweden,Isak Hien,Atalanta,Italy,Atalanta [Italy],DF,1999-01-13,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/isak-hien-260697,78,third_party_fc_database,low,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/isak-hien-260697,https://www.fcratings.com/assets/images/post/260697.png,2026-06-26
Sweden,Carl Starfelt,Celta Vigo,Spain,Celta Vigo [Spain],DF,1995-06-01,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/carl-starfelt-220821,78,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/carl-starfelt-220821,https://www.fcratings.com/assets/images/post/220821.png,2026-06-26
Sweden,Lucas Bergvall,Tottenham Hotspur,England,Tottenham Hotspur [England],MF,2006-02-02,20,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/lucas-bergvall-272926,78,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/lucas-bergvall-272926,https://www.fcratings.com/assets/images/post/272926.png,2026-06-26
Sweden,Gabriel Gudmundsson,Leeds United,England,Leeds United [England],DF,1999-04-29,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/gabriel-gudmundsson-236822,77,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/gabriel-gudmundsson-236822,https://www.fcratings.com/assets/images/post/236822.png,2026-06-26
Sweden,Mattias Svanberg,VfL Wolfsburg,Germany,VfL Wolfsburg [Germany],MF,1999-01-05,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/mattias-svanberg-228946,76,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/mattias-svanberg-228946,https://www.fcratings.com/assets/images/post/228946.png,2026-06-26
Sweden,Jesper Karlström,Udinese,Italy,Udinese [Italy],MF,1995-06-21,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/jesper-karlstrom-214658,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/jesper-karlstrom-214658,https://www.fcratings.com/assets/images/post/214658.png,2026-06-26
Sweden,Viktor Johansson,Stoke City,England,Stoke City [England],GK,1998-09-14,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/viktor-johansson-241643,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/viktor-johansson-241643,https://www.fcratings.com/assets/images/post/241643.png,2026-06-26
Sweden,Benjamin Nygren,Celtic,Scotland,Celtic [Scotland],MF,2001-07-08,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/benjamin-nygren-243646,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/benjamin-nygren-243646,https://www.fcratings.com/assets/images/post/243646.png,2026-06-26
Sweden,Eric Smith,FC St. Pauli,Germany,FC St. Pauli [Germany],DF,1997-01-08,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/eric-smith-222369,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/eric-smith-222369,https://www.fcratings.com/assets/images/post/222369.png,2026-06-26
Sweden,Gustaf Lagerbielke,Braga,Portugal (official),Braga [Portugal (official)],DF,2000-04-10,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/gustaf-lagerbielke-264191,73,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/gustaf-lagerbielke-264191,https://www.fcratings.com/assets/images/post/264191.png,2026-06-26
Tunisia,Montassar Talbi,Lorient,France,Lorient [France],DF,1998-05-26,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/montassar-talbi-245410,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/montassar-talbi-245410,https://www.fcratings.com/assets/images/post/245410.png,2026-06-26
Tunisia,Ali Abdi,Nice,France,Nice [France],DF,1993-12-20,32,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ali-abdi-252711,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/ali-abdi-252711,https://www.fcratings.com/assets/images/post/252711.png,2026-06-26
Tunisia,Rani Khedira,Union Berlin,Germany,Union Berlin [Germany],MF,1994-01-27,32,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/rani-khedira-211999,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/rani-khedira-211999,https://www.fcratings.com/assets/images/post/211999.png,2026-06-26
Tunisia,Sebastian Tounekti,Celtic,Scotland,Celtic [Scotland],MF,2002-07-13,23,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/sebastian-tounekti-256383,73,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/sebastian-tounekti-256383,https://www.fcratings.com/assets/images/post/256383.png,2026-06-26
Tunisia,Ismaël Gharbi,FC Augsburg,Germany,FC Augsburg [Germany],MF,2004-04-10,22,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ismael-gharbi-263194,72,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/ismael-gharbi-263194,https://www.fcratings.com/assets/images/post/263194.png,2026-06-26
Tunisia,Yan Valery,Young Boys,Switzerland (Pantone),Young Boys [Switzerland (Pantone)],DF,1999-02-22,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/yan-valery-236316,71,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/yan-valery-236316,https://www.fcratings.com/assets/images/post/236316.png,2026-06-26
Tunisia,Elias Saad,Hannover 96,Germany,Hannover 96 [Germany],FW,1999-12-27,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/elias-saad-274000,71,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/elias-saad-274000,https://www.fcratings.com/assets/images/post/274000.png,2026-06-26
Tunisia,Elias Achouri,Copenhagen,Denmark,Copenhagen [Denmark],FW,1999-02-10,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/elias-achouri-263672,70,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/elias-achouri-263672,https://www.fcratings.com/assets/images/post/263672.png,2026-06-26
Tunisia,Anis Ben Slimane,Norwich City,England,Norwich City [England],MF,2001-03-16,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/anis-slimane-255210,69,third_party_fc_database,low,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/anis-slimane-255210,https://www.fcratings.com/assets/images/post/255210.png,2026-06-26
Tunisia,Dylan Bronn,Servette,Switzerland (Pantone),Servette [Switzerland (Pantone)],DF,1995-06-19,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/dylan-bronn-235565,68,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/dylan-bronn-235565,https://www.fcratings.com/assets/images/post/235565.png,2026-06-26
Tunisia,Mortadha Ben Ouanes,Kasımpaşa,Turkey,Kasımpaşa [Turkey],DF,1994-07-02,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/mortadha-ben-ouanes-263432,68,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/mortadha-ben-ouanes-263432,https://www.fcratings.com/assets/images/post/263432.png,2026-06-26
Tunisia,Moutaz Neffati,IFK Norrköping,Sweden,IFK Norrköping [Sweden],DF,2004-09-04,21,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/moutaz-neffati-279056,64,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/moutaz-neffati-279056,https://www.fcratings.com/assets/images/post/279056.png,2026-06-26
Tunisia,Ellyes Skhiri ( captain ),Eintracht Frankfurt,Germany,Eintracht Frankfurt [Germany],MF,1995-05-10,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ellyes-skhiri-225126,,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
Tunisia,Hannibal Mejbri,Burnley,England,Burnley [England],MF,2003-01-21,23,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Hannibal_Mejbri,,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
Tunisia,Aymen Dahmen,CS Sfaxien,Tunisia,CS Sfaxien [Tunisia],GK,1997-01-28,29,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Aymen_Dahmen,,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
Belgium,Thibaut Courtois,Real Madrid,Spain,Real Madrid [Spain],GK,1992-05-11,34,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/thibaut-courtois-192119,90,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as one of the team's highest-profile FC 26 players for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/thibaut-courtois-192119,https://www.fcratings.com/assets/images/post/192119.png,2026-06-26
Belgium,Kevin De Bruyne,Napoli,Italy,Napoli [Italy],MF,1991-06-28,34,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/kevin-de-bruyne-192985,87,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as one of the team's highest-profile FC 26 players for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/kevin-de-bruyne-192985,https://www.fcratings.com/assets/images/post/192985.png,2026-06-26
Belgium,Romelu Lukaku,Napoli,Italy,Napoli [Italy],FW,1993-05-13,33,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/romelu-lukaku-192505,83,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/romelu-lukaku-192505,https://www.fcratings.com/assets/images/post/192505.png,2026-06-26
Belgium,Leandro Trossard,Arsenal,England,Arsenal [England],FW,1994-12-04,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/leandro-trossard-207421,83,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/leandro-trossard-207421,https://www.fcratings.com/assets/images/post/207421.png,2026-06-26
Belgium,Jérémy Doku,Manchester City,England,Manchester City [England],FW,2002-05-27,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/jeremy-doku-246420,83,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/jeremy-doku-246420,https://www.fcratings.com/assets/images/post/246420.png,2026-06-26
Belgium,Charles De Ketelaere,Atalanta,Italy,Atalanta [Italy],FW,2001-03-10,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/charles-de-ketelaere-251470,82,third_party_fc_database,low,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/charles-de-ketelaere-251470,https://www.fcratings.com/assets/images/post/251470.png,2026-06-26
Belgium,Hans Vanaken,Club Brugge,Belgium (civil),Club Brugge [Belgium (civil)],MF,1992-08-24,33,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/hans-vanaken-200155,81,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/hans-vanaken-200155,https://www.fcratings.com/assets/images/post/200155.png,2026-06-26
Belgium,Dodi Lukébakio,Benfica,Portugal (official),Benfica [Portugal (official)],FW,1997-09-24,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/dodi-lukebakio-231416,81,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/dodi-lukebakio-231416,https://www.fcratings.com/assets/images/post/231416.png,2026-06-26
Belgium,Amadou Onana,Aston Villa,England,Aston Villa [England],MF,2001-08-16,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/amadou-onana-257057,81,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/amadou-onana-257057,https://www.fcratings.com/assets/images/post/257057.png,2026-06-26
Belgium,Senne Lammens,Manchester United,England,Manchester United [England],GK,2002-07-07,23,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/senne-lammens-254803,81,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/senne-lammens-254803,https://www.fcratings.com/assets/images/post/254803.png,2026-06-26
Belgium,Alexis Saelemaekers,Milan,Italy,Milan [Italy],MF,1999-06-27,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/alexis-saelemaekers-242664,80,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/alexis-saelemaekers-242664,https://www.fcratings.com/assets/images/post/242664.png,2026-06-26
Belgium,Maxim De Cuyper,Brighton & Hove Albion,England,Brighton & Hove Albion [England],DF,2000-12-22,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/maxim-de-cuyper-251479,79,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/maxim-de-cuyper-251479,https://www.fcratings.com/assets/images/post/251479.png,2026-06-26
Belgium,Arthur Theate,Eintracht Frankfurt,Germany,Eintracht Frankfurt [Germany],DF,2000-05-25,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/arthur-theate-257278,78,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/arthur-theate-257278,https://www.fcratings.com/assets/images/post/257278.png,2026-06-26
Belgium,Zeno Debast,Sporting CP,Portugal (official),Sporting CP [Portugal (official)],DF,2003-10-24,22,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/zeno-debast-254262,78,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/zeno-debast-254262,https://www.fcratings.com/assets/images/post/254262.png,2026-06-26
Belgium,Nicolas Raskin,Rangers,Scotland,Rangers [Scotland],MF,2001-02-23,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/nicolas-raskin-239810,78,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/nicolas-raskin-239810,https://www.fcratings.com/assets/images/post/239810.png,2026-06-26
Egypt,Omar Marmoush,Manchester City,England,Manchester City [England],FW,1999-02-07,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/omar-marmoush-256675,83,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/omar-marmoush-256675,https://www.fcratings.com/assets/images/post/256675.png,2026-06-26
Egypt,Mohamed Abdelmonem,Nice,France,Nice [France],DF,1999-02-01,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/mohamed-abdelmonem-269164,73,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/mohamed-abdelmonem-269164,https://www.fcratings.com/assets/images/post/269164.png,2026-06-26
Egypt,Haissem Hassan,Oviedo,Spain,Oviedo [Spain],FW,2002-02-08,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/haissem-hassan-245870,73,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/haissem-hassan-245870,https://www.fcratings.com/assets/images/post/245870.png,2026-06-26
Egypt,Ramy Rabia,Al Ain,United Arab Emirates,Al Ain [United Arab Emirates],DF,1993-05-20,33,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ramy-rabia-220380,70,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/ramy-rabia-220380,https://www.fcratings.com/assets/images/post/220380.png,2026-06-26
Egypt,Mohamed Salah ( captain ),Liverpool,England,Liverpool [England],FW,1992-06-15,34,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/mohamed-salah-209331,,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
Egypt,Trézéguet,Al Ahly,Egypt,Al Ahly [Egypt],FW,1994-10-01,31,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Tr%C3%A9z%C3%A9guet_(Egyptian_footballer),,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
Egypt,Mohamed El Shenawy,Al Ahly,Egypt,Al Ahly [Egypt],GK,1988-12-18,37,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Mohamed_El_Shenawy,,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
Egypt,Zizo,Al Ahly,Egypt,Al Ahly [Egypt],FW,1986-01-01,40,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Zizo,,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
Egypt,Hamdy Fathy,Al-Wakrah,Qatar,Al-Wakrah [Qatar],MF,1994-09-29,31,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Hamdy_Fathy,,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
